ARS	Name	Typ	URI	Aufgaben Kreis	Aufgaben Gemeinde
010605063 	Boostedt-Rickling	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010605063 	0	1
010605086 	Trave-Land	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010605086 	0	1
010615104 	Breitenburg	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010615104 	0	1
010615134 	Horst-Herzhorn	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010615134 	0	1
010615138 	Itzehoe-Land	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010615138 	0	1
010615153 	Krempermarsch	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010615153 	0	1
010615168 	Schenefeld	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010615168 	0	1
010615179 	Wilstermarsch	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010615179 	0	1
010615189 	Kellinghusen	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010615189 	0	1
010625207 	Bad Oldesloe-Land	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010625207 	0	1
010625218 	Bargteheide-Land	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010625218 	0	1
010625244 	Nordstormarn	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010625244 	0	1
010625262 	Siek	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010625262 	0	1
010625270 	Trittau	Amt	http://dcat-ap.de/def/politicalGeocoding/municipalAssociationKey/010625270 	0	1
010530129	Wentorf bei Hamburg	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010530129	0	1
010540108	Reußenköge	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010540108	0	1
010540168	Sylt	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010540168	0	1
010550001	Ahrensbök	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550001	0	1
010550007	Bosau	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550007	0	1
010550010	Dahme	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550010	0	1
010550016	Grömitz	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550016	0	1
010550018	Grube	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550018	0	1
010550025	Kellenhusen (Ostsee)	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550025	0	1
010550028	Malente	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550028	0	1
010550035	Ratekau	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550035	0	1
010550040	Stockelsdorf	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550040	0	1
010550041	Süsel	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550041	0	1
010550042	Timmendorfer Strand	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550042	0	1
010550044	Scharbeutz	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550044	0	1
010560005	Bönningstedt	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560005	0	1
010560018	Halstenbek	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560018	0	1
010560021	Hasloh	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560021	0	1
010560025	Helgoland	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560025	0	1
010560043	Rellingen	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560043	0	1
010570001	Ascheberg (Holstein)	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010570001	0	1
010570008	Bönebüttel	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010570008	0	1
010570009	Bösdorf	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010570009	0	1
010580005	Altenholz	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010580005	0	1
010580092	Kronshagen	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010580092	0	1
010580169	Wasbek	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010580169	0	1
010590120	Harrislee	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010590120	0	1
010590183	Handewitt	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010590183	0	1
010600019	Ellerau	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010600019	0	1
010600039	Henstedt-Ulzburg	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010600039	0	1
010620009	Barsbüttel	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620009	0	1
010620018	Glinde	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620018	0	1
010620023	Großhansdorf	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620023	0	1
010620053	Oststeinbek	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620053	0	1
010620076	Tangstedt	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620076	0	1
010620090	Ammersbek	Gemeinde	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620090	0	1
010539105	Sachsenwald (Forstgutsbez.)	gemeindefreies Gebiet	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010539105	0	1
010609014	Buchholz (Forstgutsbez.)	gemeindefreies Gebiet	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010609014	0	1
